"SNP","b_disc","se_disc","p_disc","b_val","se_val","b_out","se_out","true_b"
"rs8533788",0.00985551415839207,0.0120951698143035,0.415169297708619,0.0107212548308916,0.011443919650279,0.000457157514542527,0.0113156760688871,0.0169546359119566
"rs7319879",0.00922267009170157,0.0147767868032679,0.532540696017264,-0.0103082179303281,0.0134239880731329,-0.00344709698575359,0.01055272924155,-0.00447505267103205
"rs1196560",0.000900475512102346,0.0127839332753792,0.943844995663556,4.06620066195976e-06,0.0123011176306754,-0.00565465617466717,0.0112530988175422,0.00173661947471673
"rs1630567",-0.0201498467691077,0.0131671486459672,0.125939497011067,0.0175856183116198,0.014445013997145,-0.0132034232151944,0.0178188976515085,-0.0078107569434313
"rs2079066",0.0318334494773271,0.011647017845884,0.00627251714896156,0.0292834132780616,0.0119649593308568,0.00381427226430655,0.0131905694436282,0.0392160216141282
"rs6307843",-0.0611801452020836,0.0137722141612321,8.90072090889062e-06,-0.0469817350711673,0.0122005432220176,0.00906705815747865,0.017596998559311,-0.0532580331443422
"rs5040919",0.0041266750115482,0.014189097462222,0.77117811664469,0.0109016706428512,0.0120001390082762,0.0309448843280513,0.0164906588289887,0.00145598830558405
"rs3528852",0.00958857870058724,0.0140943463565782,0.496305771680368,0.00533547944872499,0.0138544794674963,0.0108356073410517,0.0103431887030601,0.00198248048310998
"rs2207251",-0.00114673540214587,0.0118531577587128,0.922928791713659,0.0100249820460161,0.0110425550723448,0.00126956567318158,0.0151724130809307,0.00384206987362775
"rs4430436",-0.0320513527527447,0.0118144176723436,0.00666969060899182,-0.0363043606194177,0.012705062167719,-0.0198042564776828,0.0129790743943304,-0.0280407530273818
"rs6955552",0.01090298281935,0.0135329866642132,0.420439056484519,-0.00195846547348632,0.0127625818932429,0.0136173204681428,0.0143327538762242,0.00389180783263964
"rs1311763",-0.00883175890068753,0.0140440320428461,0.529439367361375,-0.00587435553433929,0.013596605759114,0.0154180604745475,0.0101995857059956,0.00337794870647592
"rs4324513",0.0203685508688393,0.0142318688919768,0.152374914558792,-0.00872832087097843,0.0143144429828972,0.000160671393315642,0.0175359652675688,0.0226551982538448
"rs4496853",0.00738166241925213,0.0143156895181164,0.606109757889822,0.0177670044215428,0.0133288440508768,-0.00149434463813899,0.0152908930145204,0.00942332005636136
"rs6448601",0.0112979293056598,0.0114742836393416,0.324805616588664,0.0140519326398213,0.0145049341563135,0.0193645640458253,0.0131528238207102,0.0200781769946393
"rs4284102",-0.0252353680098735,0.0121253724209964,0.037415279650272,-0.0193747177845706,0.0121363068502396,8.52578254749051e-05,0.0143895138707012,-0.0172350403590684
