"SNP","bx_MV1","bxse_MV1","bx_MV2","bxse_MV2","bx_MV3","bxse_MV3","by","byse"
"MV_rs00001",0.0425228905090755,0.0352425089129247,-0.11846208006869,0.0327751620125491,-0.105931848048109,0.0420874347374774,0.0576989927334186,0.014118299966678
"MV_rs00002",0.00643527671088936,0.0441641544853337,-0.1118468427829,0.0429824604070745,-0.0704764603356687,0.0417758734698873,-0.0213245156524195,0.0135309994276613
"MV_rs00003",0.0137996265211547,0.0445237086829729,0.131956083512679,0.0414685015019495,0.0280077358874821,0.0342298768123146,-0.107991093522321,0.0186487409472466
"MV_rs00004",-0.062396328499494,0.0426288037688937,0.0446876419749886,0.04145301918732,-0.0701618241781506,0.0431059670622926,-0.0354195011163908,0.0133061890490353
"MV_rs00005",0.0258234683322553,0.0399897864705417,-0.0436551952541183,0.0328231898567174,-0.122250381808928,0.0367107962316368,-0.0048394747922856,0.0165224651657045
"MV_rs00006",0.0821698875392512,0.0334653869562317,0.0935512427949958,0.0321702271490358,-0.0264565057516521,0.0351299260463566,0.0113634459615999,0.0166427811123431
"MV_rs00007",0.0533252597695718,0.044373830978293,0.0790148124891941,0.0406767318584025,0.0320848297821886,0.0408201063482556,0.0181817246595737,0.0158892570696771
"MV_rs00008",0.000646481963105613,0.0382691552583128,-0.077774643038155,0.043337765391916,-0.0784740589463712,0.0322004694084171,-0.0345837660988007,0.0130877723973244
"MV_rs00009",0.0431533872756598,0.0372396306786686,-0.0570705607687597,0.0362014090083539,0.082696337196457,0.0405551275494508,-0.0130821101038517,0.0134287367537618
"MV_rs00010",0.0193469398466331,0.0439487884333357,0.0361060133225001,0.0347534304403234,0.108565694462296,0.0327300053578801,0.0307263831502687,0.0163568537961692
"MV_rs00011",0.0187534019264421,0.0334854505362455,0.171789720585589,0.0397405684855767,-0.0152778419570964,0.0352051254746038,0.0122168944648348,0.0189962168131024
"MV_rs00012",0.0413624194136432,0.0411369008186739,-0.0423694441321689,0.0389598369703162,-0.0533714863204376,0.0367282780213282,0.0496253047250614,0.016740161659196
"MV_rs00013",-0.0606791009938268,0.030369770731777,-0.00284327479731978,0.0322406165942084,-0.00428591317479724,0.0344158261420671,-0.0516207546675938,0.014786500794813
"MV_rs00014",-0.031814891202686,0.0336709157412406,-3.71027834375096e-06,0.0435800008918159,-0.0431775068405368,0.0436876347963698,0.00310394614883686,0.0196716555971652
"MV_rs00015",-0.165899114969433,0.0430515042983461,-0.0320858163703285,0.0325696841964964,-0.0278261197338623,0.0390353448560927,-0.0783203801187357,0.0156837169677019
"MV_rs00016",-0.0110889570948549,0.0357176642166451,0.0356398601026382,0.0394401392759755,0.031692634118275,0.0362876772740856,0.0242576891979929,0.016175202075392
"MV_rs00017",-0.0359465910581892,0.0328087152075022,0.0185165822290317,0.036877812204184,-0.0482532642591861,0.0317901412141509,0.0329626274384711,0.0159107568282634
"MV_rs00018",-0.0904818286434334,0.0323399327381048,0.00647517236616159,0.0349588614015374,-0.0192391650540245,0.0334890254004858,-0.040090091877461,0.0185826699305326
"MV_rs00019",-0.0806258997957954,0.0421233147382736,-0.0924747646112906,0.0362600533186924,0.0142271915683465,0.0393037558870856,-0.0147908937005273,0.015818216200918
"MV_rs00020",0.110568499360221,0.0421648775751237,-0.102153736818801,0.0400408033956774,0.0787643027237891,0.0403013904124964,0.062434494471846,0.0190226564165205
"MV_rs00021",-0.049771824116744,0.0382157440949231,0.052462100589789,0.0305524371494539,-0.0512748557983736,0.0385329511819873,-0.0238658851715376,0.0176862240694463
"MV_rs00022",0.0765317565888747,0.0344037592120003,-0.0307531656583612,0.0350089195801411,-0.0479735835632365,0.0353128869936336,-0.00887916211312548,0.0177905129697174
"MV_rs00023",-0.02867223394197,0.0402253772236872,0.0867229210534211,0.040565930303419,0.0174251806349664,0.0389839473890606,-0.00998790167376433,0.0185316107049584
"MV_rs00024",0.116235562080409,0.0426540762232617,-0.0217219560629999,0.0359272603027057,-0.00481654489174146,0.0445342142111622,0.0516084245030331,0.015370787743479
